48814732,331710882920,908611282160,LinkedLineItem,400000000228062000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Web Services, Inc.,BoxUsage:m3.xlarge,RunInstances:0010,2247825,USD 0.169 per Red Hat Enterprise Linux (Amazon VPC), m3.xlarge instance-hour (or partial hour),20/01/2015 11:03:00,26/01/2015 12:30:00,6,00000000,0,0657441667,USD,0,39,0,00,0,None,0,39
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USW2-DataTransfer-In-Bytes,,3510900,$0.000 per GB - data transfer in per month,06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000043,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000221802000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USE1-APN1-AWS-In-Bytes,,3510828,$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Tokyo),06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000099,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000223687000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USW2-DataTransfer-Out-Bytes,,3510902,$0.090 per GB - up to 10 TB / month data transfer out,06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000410,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonSNS,Amazon Simple Notification Service,Amazon Web Services, Inc.,APN1-DeliveryAttempts-SQS,,3305181,There is no charge for SQS Notifications,06/01/2015 16:11:00,31/01/2015 23:59:00,3,00000000,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000220751000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USE1-APS1-AWS-Out-Bytes,,3510825,$0.02 per GB - US East (Northern Virginia) data transfer to Asia Pacific (Singapore),06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000231,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonSNS,Amazon Simple Notification Service,Amazon Web Services, Inc.,APS1-Requests-Tier1,,3305163,First 1,000,000 Amazon SNS API Requests per month are free,06/01/2015 16:11:00,31/01/2015 23:59:00,10,00000000,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USE1-USW2-AWS-Out-Bytes,,3510833,$0.02 per GB - US East (Northern Virginia) data transfer to US West (Oregon),06/01/2015 16:09:00,31/01/2015 23:59:00,0,23072160,0,0199981276,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000235005000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Web Services, Inc.,EBS:VolumeUsage,,3746617,$0.05 per GB-month of Magnetic provisioned storage - US East (Northern Virginia),08/01/2015 20:29:00,31/01/2015 23:59:00,3.677,50268881,0,0499999999,USD,183,88,0,00,0,None,183,88
48814732,331710882920,908611282160,LinkedLineItem,400000000223687000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,EU-DataTransfer-In-Bytes,,3510877,$0.000 per GB - data transfer in per month,06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000043,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000220751000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USE1-EU-AWS-In-Bytes,,3510822,$0.00 per GB - US East (Northern Virginia) data transfer from EU (Ireland),06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000048,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000225703000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USE1-USW1-AWS-In-Bytes,,3510836,$0.00 per GB - US East (Northern Virginia) data transfer from US West (Northern California),06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000044,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USW1-DataTransfer-In-Bytes,,3510860,$0.000 per GB - data transfer in per month,06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000042,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,APS1-DataTransfer-Out-Bytes,,3510887,$0.000 per GB - first 1 GB of data transferred out per month,06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000427,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000226064000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Web Services, Inc.,BoxUsage:m3.medium,RunInstances,2252034,USD 0.027 per Linux/UNIX (Amazon VPC), m3.medium instance-hour (or partial hour),08/01/2015 20:29:00,26/01/2015 12:30:00,204,00000000,0,0692841324,USD,14,13,0,00,0,None,14,13
48814732,331710882920,908611282160,LinkedLineItem,400000000225981000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Web Services, Inc.,BoxUsage:m3.xlarge,RunInstances:000g,3781606,SUSE Linux, m3.xlarge instance-hours used this month,20/01/2015 11:03:00,27/01/2015 17:27:00,174,00000000,0,2940554943,USD,51,17,0,00,0,None,51,17
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonSNS,Amazon Simple Notification Service,Amazon Web Services, Inc.,EU-Requests-Tier1,,3305162,First 1,000,000 Amazon SNS API Requests per month are free,06/01/2015 16:11:00,31/01/2015 23:59:00,10,00000000,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USW1-DataTransfer-Out-Bytes,,3510858,$0.090 per GB - up to 10 TB / month data transfer out,06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000410,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000220893000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Web Services, Inc.,ElasticIP:Remap,,3746746,$0.10 per Elastic IP address remap - additional remap / month over 100,14/01/2015 23:30:00,20/01/2015 11:03:00,7,00000000,0,1000000000,USD,0,70,0,00,0,None,0,70
48814732,331710882920,908611282160,LinkedLineItem,400000000224947000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USE1-EUC1-AWS-Out-Bytes,,3510819,$0.02 per GB - US East (Northern Virginia) data transfer to EUC1 (FRA),06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000011,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000235065000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USE1-EU-AWS-Out-Bytes,,3510821,$0.02 per GB - US East (Northern Virginia) data transfer to EU (Ireland),06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000011,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000226109000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Web Services, Inc.,DataProcessing-Bytes,LoadBalancing,3746823,$0.008 per GB Data Processed by the LoadBalancer,06/01/2015 16:09:00,31/01/2015 23:59:00,5,53487393,0,0080001822,USD,0,04,0,00,0,None,0,04
